Series Name,Series Code,Country Name,Country Code,2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021]
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Afghanistan,AFG,64.13,64.486,64.833,65.173,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Albania,ALB,78.333,78.458,78.573,78.686,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Algeria,DZA,76.499,76.693,76.88,77.063,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,American Samoa,ASM,..,..,..,..,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Andorra,AND,..,..,..,..,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Angola,AGO,60.379,60.782,61.147,61.487,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Antigua and Barbuda,ATG,76.752,76.885,77.016,77.146,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Argentina,ARG,76.372,76.52,76.667,76.813,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Armenia,ARM,74.797,74.945,75.087,75.224,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Aruba,ABW,76.01,76.152,76.293,76.434,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Australia,AUS,82.5,82.7487804878049,82.9,83.2,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Austria,AUT,81.6439024390244,81.6926829268293,81.8951219512195,81.1926829268293,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Azerbaijan,AZE,72.693,72.864,73.005,73.123,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,"Bahamas, The",BHS,73.554,73.752,73.918,74.053,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Bahrain,BHR,77.032,77.163,77.292,77.419,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Bangladesh,BGD,72.052,72.32,72.591,72.868,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Barbados,BRB,78.981,79.081,79.19,79.308,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Belarus,BLR,74.1292682926829,74.1756097560976,74.2268292682927,74.2268292682927,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Belgium,BEL,81.4926829268293,81.5951219512195,81.9951219512195,80.7951219512195,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Belize,BLZ,74.365,74.496,74.623,74.754,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Benin,BEN,61.174,61.47,61.771,62.077,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Bermuda,BMU,81.4419512195122,81.6517073170732,81.8665853658537,82.0560975609756,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Bhutan,BTN,71.129,71.46,71.777,72.08,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Bolivia,BOL,70.945,71.239,71.513,71.771,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Bosnia and Herzegovina,BIH,77.128,77.262,77.401,77.545,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Botswana,BWA,68.812,69.275,69.592,69.793,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Brazil,BRA,75.456,75.672,75.881,76.084,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,British Virgin Islands,VGB,..,..,..,..,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Brunei Darussalam,BRN,75.585,75.722,75.86,75.998,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Bulgaria,BGR,74.8146341463415,74.9634146341464,75.1121951219512,73.6073170731707,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Burkina Faso,BFA,60.768,61.174,61.577,61.981,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Burundi,BDI,60.898,61.247,61.584,61.916,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Cabo Verde,CPV,72.57,72.782,72.981,73.166,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Cambodia,KHM,69.289,69.57,69.823,70.054,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Cameroon,CMR,58.511,58.921,59.292,59.626,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Canada,CAN,81.9,82.0487804878049,82.0487804878049,81.7487804878049,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Cayman Islands,CYM,..,..,..,..,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Central African Republic,CAF,52.24,52.805,53.283,53.679,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Chad,TCD,53.712,53.977,54.239,54.505,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Channel Islands,CHI,82.766,82.928,83.086,83.24,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Chile,CHL,79.909,80.042,80.181,80.329,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,China,CHN,76.47,76.704,76.912,77.097,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Colombia,COL,76.925,77.109,77.287,77.46,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Comoros,COM,63.912,64.118,64.321,64.525,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,"Congo, Dem. Rep.",COD,60.026,60.368,60.681,60.971,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,"Congo, Rep.",COG,63.954,64.29,64.57,64.804,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Costa Rica,CRI,79.914,80.095,80.279,80.465,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Cote d'Ivoire,CIV,57.017,57.422,57.783,58.104,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Croatia,HRV,77.8268292682927,78.0707317073171,78.4243902439025,77.7243902439024,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Cuba,CUB,78.662,78.726,78.802,78.892,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Curacao,CUW,78.0170731707317,..,..,..,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Cyprus,CYP,80.672,80.828,80.982,81.135,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Czech Republic,CZE,78.9780487804878,79.0292682926829,79.2292682926829,78.2268292682927,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Denmark,DNK,81.1024390243903,80.9536585365854,81.4512195121951,81.5512195121951,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Djibouti,DJI,65.893,66.582,67.112,67.49,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Dominica,DMA,..,..,..,..,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Dominican Republic,DOM,73.689,73.892,74.081,74.257,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Ecuador,ECU,76.584,76.8,77.01,77.216,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,"Egypt, Arab Rep.",EGY,71.656,71.825,71.99,72.15,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,El Salvador,SLV,72.872,73.096,73.317,73.533,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Equatorial Guinea,GNQ,58.061,58.402,58.735,59.057,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Eritrea,ERI,65.538,65.941,66.321,66.679,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Estonia,EST,78.0926829268293,78.2439024390244,78.6463414634147,78.3463414634146,..
